class,precision,recall,f1,support,errors
plastic,0.8440366972477065,0.8141592920353983,0.8288288288288288,113,21
trash,0.875,0.8076923076923077,0.84,78,15
cardboard,0.8727272727272727,0.8495575221238938,0.8609865470852018,113,17
paper,0.8110236220472441,0.9196428571428571,0.8619246861924686,112,9
metal,0.9035087719298246,0.9363636363636364,0.9196428571428571,110,7
glass,0.9385964912280702,0.9224137931034483,0.9304347826086956,116,9
battery,0.9636363636363636,0.9814814814814815,0.9724770642201835,54,1
biological,1.0,0.9607843137254902,0.98,51,2
shoes,1.0,0.9764705882352941,0.9880952380952381,85,2
clothes,1.0,0.9882352941176471,0.9940828402366864,85,1
