class,source_dataset,source_zip,zip_member,output_filename,candidate_path,recommended_action
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash6.jpg,TN_trash_6.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_6.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash43.jpg,TN_trash_43.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_43.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash1.jpg,TN_trash_1.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_1.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash127.jpg,TN_trash_127.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_127.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash133.jpg,TN_trash_133.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_133.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash136.jpg,TN_trash_136.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_136.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash130.jpg,TN_trash_130.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_130.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash100.jpg,TN_trash_100.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_100.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash125.jpg,TN_trash_125.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_125.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash124.jpg,TN_trash_124.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_124.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash126.jpg,TN_trash_126.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_126.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash129.jpg,TN_trash_129.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_129.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash3.jpg,TN_trash_3.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_3.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash80.jpg,TN_trash_80.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_80.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash135.jpg,TN_trash_135.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_135.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash117.jpg,TN_trash_117.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_117.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash42.jpg,TN_trash_42.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_42.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash105.jpg,TN_trash_105.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_105.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash73.jpg,TN_trash_73.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_73.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash85.jpg,TN_trash_85.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_85.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash38.jpg,TN_trash_38.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_38.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash119.jpg,TN_trash_119.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_119.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash92.jpg,TN_trash_92.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_92.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash122.jpg,TN_trash_122.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_122.jpg,manual_review_then_add_to_train
trash,TrashNet,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/raw_data/Trashnet.zip,dataset-resized/trash/trash78.jpg,TN_trash_78.jpg,/Users/sylviachan/Desktop/機器學習/分組/Garbage-Classification-System/data/supplement_candidates/trash/TN_trash_78.jpg,manual_review_then_add_to_train
